"Index","Close","High","Low"
1/4/2019 17:15,2034057.352,2332537.087403,2153453.352368
1/4/2019 17:30,2065880.56,2422956.046677,2189687.337092
1/4/2019 17:45,2090820.356,2430593.269199,2212737.875194
1/4/2019 18:00,2107060.74,2500136.035199,2232003.220261
1/4/2019 18:15,2093251.767,2593260.868169,2212187.262277
1/4/2019 18:30,2091696.273,2634365.090522,2215539.339747
1/4/2019 18:45,2093371.339,2578163.829363,2211994.194249
1/4/2019 19:00,2053085.778,2552389.974572,2175073.290462
1/4/2019 19:15,2047151.741,2509064.369682,2167020.819747
1/4/2019 19:30,2024926.893,2480987.909433,2144660.107013
1/4/2019 19:45,1997031.565,2463947.23898,2113027.201358
1/4/2019 20:00,1969413.764,2414445.811239,2080771.756367
1/4/2019 20:15,1961172.447,2266807.347925,2078789.499561
1/4/2019 20:30,1929723.333,2222278.345214,2045917.748917
1/4/2019 20:45,1898966.12,2202750.765706,2011946.590518
1/4/2019 21:00,1875788.432,2144007.795378,1985802.289911
1/4/2019 21:15,1875114.316,1832881.52293,1989739.169318
1/4/2019 21:30,1845519.001,1778022.076448,1958735.935442
1/4/2019 21:45,1817469.403,1753612.102189,1932803.644685
1/4/2019 22:00,1797676.141,1734656.730393,1906285.04354
1/4/2019 22:15,1834691.503,1829813.562015,1945250.07186
1/4/2019 22:30,1822520.016,1824597.989537,1934316.526263
1/4/2019 22:45,1832155.059,1840953.500199,1940906.319684
1/4/2019 23:00,1794659.066,1819724.205692,1904814.947978
1/4/2019 23:15,1822192.528,1827875.153692,1928914.431096
1/4/2019 23:30,1790822.361,1803305.075244,1896367.289035
1/4/2019 23:45,1758653.342,1781894.681493,1866383.454825
1/5/2019 0:00,1732943.387,1743684.756269,1838045.103181
1/5/2019 0:15,1740690.872,1677168.53994,1848833.317928
1/5/2019 0:30,1729077.234,1653933.107672,1838955.595456
1/5/2019 0:45,1712011.684,1643893.155204,1818836.495293
1/5/2019 1:00,1683438.928,1588700.028905,1790089.731484
1/5/2019 1:15,1714502.548,1372575.628438,1819828.557334
1/5/2019 1:30,1708397.293,1332698.703443,1816856.889584
1/5/2019 1:45,1704856.941,1331602.881189,1809006.205178
1/5/2019 2:00,1667722.337,1327256.942955,1794033.468072
1/5/2019 2:15,1691223.125,1335734.268189,1874189.558104
1/5/2019 2:30,1665408.793,1313780.413726,1856918.091713
1/5/2019 2:45,1642508.84,1307996.724184,1835293.374831
1/5/2019 3:00,1607373.167,1266414.549866,1804855.410456
1/5/2019 3:15,1630613.143,1300967.257925,1912560.559394
1/5/2019 3:30,1614878.758,1297156.900443,1917997.411773
1/5/2019 3:45,1579726.192,1274120.417214,1883632.71827
1/5/2019 4:00,1548802.864,1250569.692328,1857517.969545
1/5/2019 4:15,1563557.971,1276469.452214,1900931.475692
1/5/2019 4:30,1549239.981,1271409.654179,1918433.172313
1/5/2019 4:45,1535190.735,1274784.863194,1928549.026905
1/5/2019 5:00,1536548.715,1273495.224423,1918683.199976
1/5/2019 5:15,1548351.72,1284356.646692,1837779.771917
1/5/2019 5:30,1553776.149,1286197.112682,1832290.166192
1/5/2019 5:45,1549878.026,1288909.361428,1835895.036282
1/5/2019 6:00,1556248.527,1292391.877672,1843277.98317
1/5/2019 6:15,1553203.039,1289887.793219,1848459.88525
1/5/2019 6:30,1566035.199,1304720.93295,1862669.263155
1/5/2019 6:45,1577182.721,1306554.971692,1874790.710407
1/5/2019 7:00,1580534.38,1331967.505428,1870517.104985
1/5/2019 7:15,1568562.243,1430414.236438,1770853.435933
1/5/2019 7:30,1597932.052,1471988.033428,1788399.309871
1/5/2019 7:45,1619094.146,1477601.224677,1783548.779525
1/5/2019 8:00,1642452.326,1504385.718189,1806954.859209
1/5/2019 8:15,1681086.67,1580178.044194,1810287.901771
1/5/2019 8:30,1698195.356,1600978.003726,1820879.981514
1/5/2019 8:45,1719729.593,1619074.925189,1847297.164427
1/5/2019 9:00,1741916.154,1643635.365458,1872204.987516
1/5/2019 9:15,1775696.693,1748270.211184,1902559.450274
1/5/2019 9:30,1795605.203,1787279.577443,1924329.982224
1/5/2019 9:45,1803905.225,1793201.655443,1934289.502374
1/5/2019 10:00,1822182.443,1820345.604214,1952477.989234
1/5/2019 10:15,1843200.43,1801416.98091,1970195.164096
1/5/2019 10:30,1855598.949,1818062.348801,1981740.625937
1/5/2019 10:45,1864418.617,1798603.895985,2003545.486095
1/5/2019 11:00,1849978.607,1781518.132657,1994173.669586
1/5/2019 11:15,1850338.431,1634360.382179,1994139.827187
1/5/2019 11:30,1866072.835,1626140.429179,2009869.162883
1/5/2019 11:45,1877006.302,1633372.549682,2014453.989392
1/5/2019 12:00,1867838.165,1619605.790194,2006039.55686
1/5/2019 12:15,1881518.581,1582676.657184,2023707.765373
1/5/2019 12:30,1914467.592,1587351.395925,2055440.971068
1/5/2019 12:45,1919114.222,1610960.486433,2061184.967858
1/5/2019 13:00,1907505.484,1590646.656945,2048536.638731
1/5/2019 13:15,1911801.62,1486558.241189,2059854.815125
1/5/2019 13:30,1898051.362,1473181.423473,2057490.433851
1/5/2019 13:45,1897957.497,1482184.29495,2065246.562674
1/5/2019 14:00,1871554.019,1456263.452,2035740.462925
1/5/2019 14:15,1882385.2,1463551.186433,2033582.887778
1/5/2019 14:30,1866450.352,1455234.775438,2017089.511192
1/5/2019 14:45,1862636.107,1443495.073189,2012565.063599
1/5/2019 15:00,1846287.943,1432868.368527,1997996.634416
1/5/2019 15:15,1852359.123,1451206.959975,2001979.448829
1/5/2019 15:30,1842614.131,1451961.465438,1994120.865458
1/5/2019 15:45,1827115.702,1443667.377935,1974919.683065
1/5/2019 16:00,1819261.18,1444814.862224,1968866.226051
1/5/2019 16:15,1825286.205,1425076.77099,1968221.981602
